x,y
0.0,0.3
0.02,0.314
0.04,0.328
0.06,0.342
0.08,0.356
0.1,0.37
0.12,0.384
0.14,0.398
0.16,0.412
0.17999999,0.426
0.2,0.44
0.22,0.454
0.24,0.468
0.26,0.482
0.28,0.496
0.29999998,0.51
0.32,0.524
0.34,0.538
0.35999998,0.552
0.38,0.566
0.4,0.58000004
0.42,0.594
0.44,0.60800004
0.45999998,0.622
0.48,0.63600004
0.5,0.65
0.52,0.66400003
0.53999996,0.678
0.56,0.69200003
0.58,0.706
0.59999996,0.71999997
0.62,0.73399997
0.64,0.748
0.65999997,0.76199996
0.68,0.776
0.7,0.78999996
0.71999997,0.80399996
0.74,0.818
0.76,0.832
0.78,0.84599996
0.8,0.86
0.82,0.874
0.84000003,0.888
0.86,0.902
0.88,0.916
0.90000004,0.93
0.92,0.944
0.94,0.958
0.96,0.972
0.98,0.986
